Time		Ru	Re	Wa	Cpu1	Cpu2	Cpu3	Cpu4	I/O queue
0.000000	0	0	0	IDLE	IDLE	IDLE	IDLE	<-->	
0.100000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.200000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.300000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.400000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.500000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.600000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.700000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.800000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
0.900000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
1.000000	1	0	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
1.100000	1	1	0	I-Word	IDLE	IDLE	IDLE	<-->	
1.200000	1	1	0	I-Word	IDLE	IDLE	IDLE	<-->	
1.300000	1	1	0	I-Word	IDLE	IDLE	IDLE	<-->	
1.400000	1	1	0	I-Word	IDLE	IDLE	IDLE	<-->	
1.500000	1	1	0	I-Word	IDLE	IDLE	IDLE	<-->	
1.600000	1	1	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
1.700000	1	1	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
1.800000	1	1	0	I-Chrome	IDLE	IDLE	IDLE	<-->	
1.900000	1	0	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
2.000000	1	0	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
2.100000	1	1	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
2.200000	1	1	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
2.300000	1	1	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
2.400000	1	1	1	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome >	
2.500000	1	1	1	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome >	
2.600000	1	1	1	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome >	
2.700000	1	1	1	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome >	
2.800000	1	1	1	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome >	
2.900000	1	1	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
3.000000	1	1	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
3.100000	1	2	1	I-Word	IDLE	IDLE	IDLE	<I-Chrome >	
3.200000	1	1	2	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.300000	1	1	2	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.400000	1	1	2	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.500000	1	1	2	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.600000	1	1	2	I-Terminal	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.700000	1	1	2	C-TreeGen	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.800000	1	1	2	C-TreeGen	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
3.900000	1	1	2	C-TreeGen	IDLE	IDLE	IDLE	<I-Chrome I-Word >	
4.000000	1	2	1	C-TreeGen	IDLE	IDLE	IDLE	<I-Word >	
4.100000	1	3	1	C-TreeGen	IDLE	IDLE	IDLE	<I-Word >	
4.200000	1	3	1	I-Terminal	IDLE	IDLE	IDLE	<I-Word >	
4.300000	1	3	1	I-Terminal	IDLE	IDLE	IDLE	<I-Word >	
4.400000	1	3	1	I-Terminal	IDLE	IDLE	IDLE	<I-Word >	
4.500000	1	2	2	I-Chrome	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
4.600000	1	2	2	I-Chrome	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
4.700000	1	2	2	I-Chrome	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
4.800000	1	2	2	I-Chrome	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
4.900000	1	2	2	I-Chrome	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
5.000000	1	2	2	C-g++	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
5.100000	1	3	2	C-g++	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
5.200000	1	3	2	C-g++	IDLE	IDLE	IDLE	<I-Word I-Terminal >	
5.300000	1	4	1	C-g++	IDLE	IDLE	IDLE	<I-Terminal >	
5.400000	1	4	1	C-g++	IDLE	IDLE	IDLE	<I-Terminal >	
5.500000	1	4	1	C-TreeGen	IDLE	IDLE	IDLE	<I-Terminal >	
5.600000	1	4	1	C-TreeGen	IDLE	IDLE	IDLE	<I-Terminal >	
